Name,Non-discretionary,Discretionary
Bread,1,
Breakfast cereals,1,
Other cereal products,1,
Beef and veal,1,
Pork,1,
Lamb and goat,1,
Poultry,1,
Other meats,1,
Fish and other seafood,1,
Milk,1,
Cheese,1,
Fruit,1,
Vegetables,1,
Eggs,1,
"Jams, honey and spreads",1,
Food additives and condiments,1,
Oils and fats,1,
Other food products n.e.c.,1,
"Coffee, tea and cocoa",1,
Rents,1,
New dwelling purchase by owner-occupiers,1,
Maintenance and repair of the dwelling,1,
Property rates and charges,1,
Water and sewerage,1,
Electricity,1,
Gas and other household fuels,1,
Cleaning and maintenance products,1,
Personal care products,1,
Other non-durable household products,1,
Child care,1,
Pharmaceutical products,1,
Therapeutic appliances and equipment,1,
Medical and hospital services,1,
Dental services,1,
Automotive fuel,1,
Maintenance and repair of motor vehicles,1,
Spare parts and accessories for motor vehicles,1,
Other services in respect of motor vehicles,1,
Urban transport fares,1,
Postal services,1,
Telecommunication equipment and services,1,
Pets and related products,1,
Veterinary and other services for pets,1,
Preschool and primary education,1,
Secondary education,1,
Insurance,1,
Deposit and loan facilities (direct charges),1,
Interest charges,1,
Other financial services,1,
Cakes and biscuits,,1
Ice cream and other dairy products,,1
Snacks and confectionery,,1
"Waters, soft drinks and juices",,1
Restaurant meals,,1
Take away and fast foods,,1
Spirits,,1
Wine,,1
Beer,,1
Tobacco,,1
Garments for men,,1
Garments for women,,1
Garments for infants and children,,1
Footwear for men,,1
Footwear for women,,1
Footwear for infants and children,,1
Accessories,,1
"Cleaning, repair and hire of clothing and footwear",,1
Furniture,,1
Carpets and other floor coverings,,1
Household textiles,,1
Major household appliances,,1
Small electric household appliances,,1
"Glassware, tableware and household utensils",,1
Tools and equipment for house and garden,,1
Hairdressing and personal grooming services,,1
Other household services,,1
Motor vehicles,,1
"Audio, visual and computing equipment",,1
"Audio, visual and computing media and services",,1
Books,,1
"Newspapers, magazines and stationery",,1
Domestic holiday travel and accommodation,,1
International holiday travel and accommodation,,1
"Equipment for sports, camping and open-air recreation",,1
"Games, toys and hobbies",,1
Sports participation,,1
"Other recreational, sporting and cultural services",,1
Tertiary education,,1
Food and non-alcoholic beverages,,
Alcohol and tobacco,,1
Clothing and footwear,,1
Housing,1,
"Furnishings, household equipment and services",,
Health,1,
Transport,,
Communication,1,
Recreation and culture,,1
Education,,
Insurance and financial services,1,